id,label1,label2
5bc98de9d9b28b3c60f936e4,内幕,团队
5bc98df1d9b28b3c60f936e8,收益率,理财
5bc98df5d9b28b3c60f936ea,传销,被告人
5bc98df9d9b28b3c60f936ec,存款,银行存款
5bc98dfdd9b28b3c60f936ee,企业,亏损面
5bc98e09d9b28b3c60f936f4,理财产品,理财
5bc98e0dd9b28b3c60f936f6,开户,产品
5bc98e15d9b28b3c60f936f8,理财产品,招数
5bc98e23d9b28b3c60f936fc,成年人,报告
5bc98e27d9b28b3c60f936fe,理财产品,女士
5bc98e2bd9b28b3c60f93700,理财产品,央视网
5bc98e37d9b28b3c60f93702,投资者,冻结
5bc98e4bd9b28b3c60f93708,投资规模,余额
5bc98e57d9b28b3c60f9370c,理财产品,资产
5bc98e5bd9b28b3c60f9370e,理财,金牌
5bc98e5fd9b28b3c60f93710,理财产品,门槛
5bc98e67d9b28b3c60f93712,央视网,刘某
5bc98e6bd9b28b3c60f93714,网络,欺诈
5bc98e6fd9b28b3c60f93716,花生,平台
5bc98e77d9b28b3c60f93718,理财产品,征求意见
5bc98e7bd9b28b3c60f9371a,债转股,方案
5bc98e7fd9b28b3c60f9371c,理财产品,征求意见
5bc98e83d9b28b3c60f9371e,理财产品,投资者
5bc98e90d9b28b3c60f93722,理财,投资人
5bc98e94d9b28b3c60f93724,联璧,陈先生
5bc98e9cd9b28b3c60f93726,理财产品,股票
5bc98ea4d9b28b3c60f9372a,理财产品,资产
5bc98eb0d9b28b3c60f9372e,信任,投资者
5bc98eb4d9b28b3c60f93730,理财,魔方
5bc98ebcd9b28b3c60f93732,理财产品,商业银行
5bc98ec0d9b28b3c60f93734,惠而浦,压缩机
5bc98ec5d9b28b3c60f93736,医药行业,需谨慎
5bc98ed1d9b28b3c60f9373c,非标,债权
5bc98eddd9b28b3c60f93740,华夏,投资者
5bc98ee9d9b28b3c60f93744,理财产品,产品
5bc98eedd9b28b3c60f93746,雪球,投资者
5bc98ef5d9b28b3c60f93748,理财产品,债权
5bc98f01d9b28b3c60f9374e,理财产品,净值
5bc98f05d9b28b3c60f93750,商业银行,不确定性
5bc98f12d9b28b3c60f93754,理财产品,民间
5bc98f16d9b28b3c60f93756,理财,理财产品
5bc98f1ed9b28b3c60f93758,理财产品,办法
5bc98f2ad9b28b3c60f9375c,警方,嫌疑人
5bc98f2ed9b28b3c60f9375e,用户,榜单
5bc98f32d9b28b3c60f93760,理财产品,理财
5bc98f36d9b28b3c60f93762,招商银行,客户
5bc98f3ad9b28b3c60f93764,理财产品,门槛
5bc98f46d9b28b3c60f93768,基金,理财
5bc98f4ad9b28b3c60f9376a,被害人,美女
5bc98f53d9b28b3c60f9376e,陌生,投资收益
5bc98f5bd9b28b3c60f93770,九牧王,子公司
5bc98f73d9b28b3c60f93772,黄金,贵金属
5bc98f77d9b28b3c60f93774,嫌疑人,警方
5bc98f7fd9b28b3c60f93778,理财产品,投资者
5bc98f83d9b28b3c60f9377a,家庭,保本
5bc98f87d9b28b3c60f9377c,分布式,自选股
5bc98f8bd9b28b3c60f9377e,理财产品,商业银行
5bc98f94d9b28b3c60f93780,投资者,理财产品
5bc98f9cd9b28b3c60f93782,理财产品,基金
5bc98fa0d9b28b3c60f93784,案件,通俗
5bc98fa4d9b28b3c60f93786,蓄水池,理财
5bc98fb0d9b28b3c60f93788,理财产品,门槛
5bc98fb8d9b28b3c60f9378a,协会,名单
5bc98fc4d9b28b3c60f93790,普通家庭,误区
5bc98fc8d9b28b3c60f93792,存款,理财产品
5bc98fccd9b28b3c60f93794,消费者,保单
5bc98fd0d9b28b3c60f93796,理财,投资者
5bc98fd4d9b28b3c60f93798,系统,课程
5bc98fd8d9b28b3c60f9379a,语音,课程
5bc98fdcd9b28b3c60f9379c,文字,直播
5bc98fe9d9b28b3c60f9379e,理财产品,投资人
5bc98fedd9b28b3c60f937a0,理财产品,保险产品
5bc98ff1d9b28b3c60f937a2,中信银行,理财产品
5bc98ff5d9b28b3c60f937a4,金融风险,企业
5bc98ff9d9b28b3c60f937a6,理财产品,事主
5bc98ffdd9b28b3c60f937a8,上市公司,私募
5bc99001d9b28b3c60f937aa,消失,投资
5bc99005d9b28b3c60f937ac,理财产品,银监会
5bc99009d9b28b3c60f937ae,理财产品,认购
5bc9901dd9b28b3c60f937b0,理财产品,理财
